,vender,url,product,description,image,live,price,quantity
43,CannonKeys,https://cannonkeys.com/products/coffee-chip-ice-cream-switch?_pos=7&_fid=c9a0afe91&_ss=c,Coffee Chip Ice Cream Tactile Switch,CannonKeys is pleased to offer new Coffee Chip Ice Cream Tactile Switch! These switches are produced by Tecsee and feature a PME housing and POM stem. PME is a unique plastic blend that Tecsee has developed which gives the switch a distinctive sound.These switches feature 68g springs to give a tactile Holy Panda-like f,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/hero-coffee-v2_1200x1200.png?v=1637190194,True,$32.90,70
44,CannonKeys,https://cannonkeys.com/products/mm-switch-stems?_pos=45&_fid=c9a0afe91&_ss=c&variant=40930525085807,MM Switch Stems,"MM Switch Stems are part of the MM Switch Series, a series of custom linear switch parts manufactured by JWK available in several materials and colors!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/stem-combo_1200x1200.png?v=1662657377,True,$7.50,Pink | Modified POM
45,CannonKeys,https://cannonkeys.com/products/flcmmk-ice-mint-linear-switch?_pos=26&_fid=c9a0afe91&_ss=c,FLCMMK Ice Mint Linear Switch,"CannonKeys is proud to offer FLCMMK Ice Mint Linear Switches! The Ice Mint linear switches were designed by FLCMMK and manufactured by Kailh. These switches feature full POM housing paired with a POM stem, and come factory lubed for a simple and smooth experience. Like the color and materials but want to customize the feel and sound? Check out our slow springs and Accessories for all your switch modding essentials. Available in quantities of 70, 90, and 110. Switch Type Linear Manufacturer Kailh Top Housing Material POM Bottom Housing Material POM Stem Material POM Spring Weight 40±10g operating force, 50g bottom out Mounting Pins 5-pin Factory Lube Yes",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/IMG_6880_1_1200x1200.png?v=1665768974,True,$45.50,70
46,CannonKeys,https://cannonkeys.com/products/cherry-mx-black-linear-switch?_pos=48&_fid=c9a0afe91&_ss=c,Cherry MX Black Hyperglide Linear Switch,Cherry MX Hyperglide Black linear switch.,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cherry-black-hero_1200x1200.png?v=1627079941,True,$26.60,70
47,CannonKeys,https://cannonkeys.com/products/haimu-whisper-silent-tactile-switch?_pos=10&_fid=c9a0afe91&_ss=c&variant=40932263297135,Haimu Whisper Silent Tactile Switch,The Haimu Whisper Silent Tactile Switch features full nylon housing and POM stem. A great option for the office or gaming!,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07744_1200x1200.png?v=1665767908,True,$21.00,70
48,CannonKeys,https://cannonkeys.com/products/blue-macaw-silent-tactile-switch?_pos=29&_fid=c9a0afe91&_ss=c,Blue Macaw Silent Tactile Switch,CannonKeys is proud to offer Blue Macaw Silent Tactile Switches! The Blue Macaw Silent Tactile Switch uses a moyu black like bottom housing with a T1 like stem. This pre-lubed switch is manufactured by Durock ﻿and is fantastic option for anyone who wants a tactile feel that produces minimal sound. Like the color and ma,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/macaw-new_1200x1200.png?v=1648782292,True,$52.50,70
49,CannonKeys,https://cannonkeys.com/products/chocolate-toffee-linear-switch?_pos=12&_fid=c9a0afe91&_ss=c,Chocolate Toffee Linear Switch,"The Chocolate Toffee Linear Switch is produced by Tecsee and features full nylon housing, POM stem, and a 63.5g two-stage spring.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/ChocolateToffeeHero_1_1_1200x1200.png?v=1665768615,True,$42.00,70
50,CannonKeys,https://cannonkeys.com/products/neapolitan-ice-cream-switch?_pos=6&_fid=c9a0afe91&_ss=c,Neapolitan Ice Cream Tactile Switch,"The Neapolitan switch was crafted with our own custom bottom housing mold to mimic the feel of a Zyko switch - a popular Frankenstein switch made from a Zealio v2 bottom, panda top, and halo stem. While the Neapolitan doesn’t feel exactly like a Zyko switch - it’s pretty close! And you don’t need to buy more than one switch to get your Zyko-like feeling!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/neapolitan-hero-new_1200x1200.png?v=1627080230,True,$49.00,70
51,CannonKeys,https://cannonkeys.com/products/mauve-linear-switch-10?_pos=53&_fid=c9a0afe91&_ss=c,Mauve Linear Switch,"CannonKeys is pleased to offer new Mauve Linear Switches! Mauves are a fairly standard JWK linear switch, with a lovely color scheme. If you're looking for a something simple and smooth, these are a great option! Very comparable to Alpaca and Banana Split switches. Like the color and materials but want to customize the",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/mauve-hero_1200x1200.png?v=1626917837,True,$38.50,70
52,CannonKeys,https://cannonkeys.com/products/aurora-series-pink-linear-switch?_pos=18&_fid=c9a0afe91&_ss=c&variant=40912139452527,Aurora Series Pink Linear Switch,"WS Aurora Series Pink Linear Switch Available with or without factory lube, the WS Aurora Series Pink Linear Switch is smooth stock and allows for further customization! With a moderate weighting at 63.5g and a box stem design, these are sure to please! Like the color and materials but want to customize the feel and so",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/DSC07762_1200x1200.png?v=1665763292,True,$35.00,70
53,CannonKeys,https://cannonkeys.com/products/durock-cerulean-switch?_pos=41&_fid=c9a0afe91&_ss=c,Cerulean Tactile Switch by Durock,"Durock Cerulean is a tactile switch featuring blue-tinted full nylon housing, which highlights the internal gold accents. An appealing new look with a familiar and reliable MX clear-like tactile stem. Sold in packs of 70, 90, and 110.",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/cerulean-new_1200x1200.png?v=1648782550,True,$45.50,70
54,CannonKeys,https://cannonkeys.com/products/gateron-g-pro-2-0-yellow-linear-switch?_pos=3&_fid=c9a0afe91&_ss=c,Gateron G Pro 2.0 Yellow Linear Switch,The Gateron G Pro 2.0 Yellow Linear Switch features an RGB SMD condenser and comes pre-lubed for the ultimate gaming switch experience!,http://cdn.shopify.com/s/files/1/0238/7342/1376/products/ProMilkyYellow2.0Hero_1200x1200.jpg?v=1676051078,True,$17.50,70
55,CannonKeys,https://cannonkeys.com/products/kitsune-deskmats,Kitsune Deskmats,"Matías of Pigmodding returns with Kitsune Deskmats! Inspired by Japanese folklore, these mats feature the gathering of fox spirits in an open field. The surface is textured to improve mouse control!",http://cdn.shopify.com/s/files/1/0238/7342/1376/products/KitsuneDeskmat-PastelDay_1200x1200.png?v=1676053388,True,,
